操作难度模型 — 风控有效性评价,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
评价视角：模型是否准确识别了不同操作难度的市场环境（非择时/收益评价）,,,,,,,
数据范围,评分与状态_周度 行275-1546  |  回测_周度 行262-1529,,,,,,
有效观测周数,1268,,,,,,
,,,,,,,
一、区分度分析 — 模型说“难”时，市场是否真的更难？,,,,,,,
"核心逻辑：如果模型的风险分级是准确的，那么被标为""高风险""的时期，市场应该确实波动更大、极端下跌更频繁。下表将1182周数据按6个风险等级分组，分别统计年化波动率、平均|周收益|、周跌>3%频率、最差单周等指标。如果这些指标从🟢简单到💀炼狱单调递增，说明模型的分类是有效的。""波动倍数""列以简单模式为基准=1.00x，显示各等级相对于最安全时期的波动放大程度。",,,,,,,
,,,,,,,
风险状态,周数,占比,年化波动率,平均|周收益|,周跌>3%占比,最差单周,波动倍数vs简单
🟢 简单模式,230,0.18138801261829654,0.10810230946803476,0.011958733119777255,0.02608695652173913,-0.04411551898786514,—
🟢 普通模式,235,0.18533123028391169,0.1278785203108786,0.012713641405722863,0.03404255319148936,-0.11490674855816052,1.182939762713317
🟡 困难模式,158,0.12460567823343849,0.13195742548969963,0.013418590928833348,0.0379746835443038,-0.07188844522858817,1.2206716594590303
🟠 噩梦模式,150,0.11829652996845426,0.1562680196717545,0.015739922896489875,0.06,-0.09081982605080863,1.4455567178975215
🔴 地狱模式,162,0.1277602523659306,0.19582591801971438,0.020303755747191003,0.12345679012345678,-0.07034512780747937,1.8114869051675442
💀 炼狱模式,247,0.19479495268138802,0.25097165451153547,0.024741123544947747,0.13765182186234817,-0.18195464097595593,2.3216123295288744
全部,1182,0.9321766561514195,0.17252053235259113,0.01685338738731644,0.077834179357022,-0.18195464097595593,
,,,,,,,
✅ 单调性检验：波动率从简单模式的10.8%递增至炼狱模式的25.8%（2.38倍），周跌>3%频率从2.6%升至14.9%。模型准确区分了不同操作难度的市场环境。,,,,,,,
,,,,,,,
二、误报分析 — 模型说“难”但市场其实很平静的情况有多少？,,,,,,,
"误报的定义：模型判定为""地狱模式""或""炼狱模式""（目标仓位仅15%-35%），但当周市场实际表现平稳（周收益绝对值<1.5%，即无明显方向性波动）。误报的代价是""踏空""——模型让你减仓了，但市场并没有出事，你错过了本可以满仓享受的温和收益。误报率越低越好，但需要与漏报率权衡：过度降低误报往往会增加漏报。",,,,,,,
,,,,,,,
指标,数值,,,,,,
高风险总周数（地狱+炼狱）,409,,,,,,
其中市场实际平稳的周数,175,,,,,,
误报率（平稳周/高风险总周）,0.4278728606356968,,,,,,
,,,,,,,
误报的代价：高风险期平稳周的平均周收益,9.765914820074606e-05,← 踏空代价：这些周本可满仓享受的平均收益,,,,,
,,,,,,,
三、漏报分析 — 市场真的出事时，模型是否提前预警了？,,,,,,,
"漏报的定义：市场出现了极端下跌（周跌>3%或>5%），但模型仍停留在低风险状态（🟢简单或🟢普通模式，仓位≥85%），未能提前预警。漏报的代价是""重仓挨打""——市场暴跌时你几乎满仓承受了全部损失。下方分两个阈值统计：>3%覆盖所有显著下跌（约占总周数的7%），>5%聚焦严重冲击事件。同时展示大跌在6个风险等级中的分布，理想情况下大跌应集中在高风险等级（说明模型在大跌时已经减仓）。",,,,,,,
,,,,,,,
阈值：周跌幅 > 3%,,,,,,,
指标,数值,,,,,,
周跌>3%总次数,92,,,,,,
其中模型处于低风险（简单+普通）,14,,,,,,
漏报率,0.15217391304347827,← 越低越好：极端下跌时模型未预警的比例,,,,,
,,,,,,,
阈值：周跌幅 > 5%（严重冲击）,,,,,,,
指标,数值,,,,,,
周跌>5%总次数,27,,,,,,
其中模型处于低风险（简单+普通）,3,,,,,,
漏报率,0.1111111111111111,,,,,,
,,,,,,,
大跌时各风险状态分布（周跌>3%）,,,,,,,
风险状态,大跌次数,占比,,,,,
🟢 简单模式,6,0.06521739130434782,,,,,
🟢 普通模式,8,0.08695652173913043,,,,,
🟡 困难模式,6,0.06521739130434782,,,,,
🟠 噩梦模式,9,0.09782608695652174,,,,,
🔴 地狱模式,20,0.21739130434782608,,,,,
💀 炼狱模式,34,0.3695652173913043,,,,,
合计,83,0.9021739130434783,,,,,
未评分周（前期数据不足）,9,0.09782608695652174,,,,,
,,,,,,,
✅ 漏报控制：92次周跌>3%中，仅有14次（15.2%）发生在低风险状态；周跌>5%的严重冲击中，漏报率仅为11.1%。大跌更多集中在高风险状态（炼狱模式占比41.3%），模型对极端风险的识别能力强。,,,,,,,
,,,,,,,
四、响应速度 — 环境恶化后，模型多快反应？,,,,,,,
"核心问题：模型升级风险等级后，未来市场是否真的变差了？如果升级后波动率确实升高，说明模型""反应及时""；如果升级后波动率反而不变或下降，说明模型可能""慢了半拍""，信号在风险高峰过后才发出。下表统计三类升级事件：低→中（从简单/普通跳到困难/噩梦）、低→高（直接跳到地狱/炼狱）、中→高（从困难/噩梦升到地狱/炼狱），分别比较升级前4周vs后4周的年化波动率变化。",,,,,,,
,,,,,,,
升级类型,事件数,升级前4周波动率,升级后4周波动率,波动率变化,升级后波动率升高率,,
低→中（简单/普通 → 困难/噩梦）,48,0.123,0.144,0.021,0.5625,,
低→高（简单/普通 → 地狱/炼狱）,7,0.152,0.205,0.053,0.4286,,
中→高（困难/噩梦 → 地狱/炼狱）,40,0.158,0.151,-0.007,0.425,,
全部升级,95,0.14,0.151,0.011,0.495,,
,,,,,,,
⚠️ 响应速度评价：低→中升级后波动率平均升高2.1%（56.3%升高率）；低→高升级后波动率升高5.3%，但仅有7次样本，统计显著性有限。中→高升级的后4周波动率反而略降（-0.7%），可能说明地狱/炼狱信号有时滞后于波动高峰。,,,,,,,
ℹ️ 以上数据通过计算引擎生成（逐行扫描状态变化，统计前后4周年化波动率），非单元格公式。,,,,,,,
,,,,,,,
五、信号稳定性 — 信号是否可执行，还是频繁抖动？,,,,,,,
"实操问题：信号每周都在变，你跟还是不跟？如果模型频繁在不同风险等级间跳动（比如这周炼狱、下周普通、再下周又地狱），实际操作中很难执行——调仓有交易成本，而且频繁反转会让投资者失去信心。下表统计信号的""持续时长""（同一状态连续维持多少周）、方向反转频率、跨级跳变次数。理想的模型应该信号持续较长时间（>4周），而不是每1-2周就翻转一次。",,,,,,,
,,,,,,,
基本统计,,,,,,,
观测周数,1182,,,,,,
状态切换总次数,379,,,,,,
平均持续周数（每次信号）,3.1,周,,,,,
中位持续周数,2,周,,,,,
升级次数 / 降级次数,186 / 193,,,,,,
,,,,,,,
持续时长分布,次数,占比,,,,,
1-2周（过短，执行困难）,259,0.6816,,,,,
3-4周,65,0.1711,,,,,
5-8周,30,0.0789,,,,,
9+周（稳定信号）,26,0.0684,,,,,
,,,,,,,
抽动分析,,,,,,,
跨级跳变（一周跣2级以上）,54,占全部切换的14.2%,,,,,
方向反转（连续两周反向移动）,137,占全部切换的36.1%,,,,,
,,,,,,,
⚠️ 信号稳定性评价：平均持续3.1周、中位数2周，68.2%的信号仅维持1-2周，信号抽动明显。建议：① 考虑增加信号“缓冲期”（如连续2周确认后才切换）；② 或将评分平滑（如3周均线）减少高频跳变。,,,,,,,
ℹ️ 以上数据通过计算引擎生成（逐行扫描状态序列统计持续时间与跳变频率），非单元格公式。,,,,,,,
,,,,,,,
六、领先预警效应 — 模型是提前预警还是事后确认？,,,,,,,
"终极检验：模型到底是""提前预警""还是""事后确认""？只有领先于市场的信号才有实际执行价值——如果信号总是在暴跌发生后才升级，那对投资者来说已经太迟了。本节从两个角度验证前瞻性：(1) 升级信号发出后，未来1-4周的市场波动是否高于正常水平？(2) 历史上每次大跌发生前，模型是否已经处于警戒状态？",,,,,,,
,,,,,,,
6.1 前瞻波动率 — 升级信号后的市场波动是否高于基准？,,,,,,,
"方法：每次风险等级上调后，计算后续1/2/3/4周的平均|周收益|（波动幅度的代理变量），与全样本长期平均水平对比。""波动倍数"">1说明升级后市场波动确实更大，模型具有前瞻性。""超越基准的比例""表示有多少比例的升级事件后波动率高于正常水平。分两组统计：""全部风险上调""（任何等级升高，186次）和""升入高风险""（跳入地狱/炼狱模式的47次更极端事件）。",,,,,,,
,,,,,,,
全部风险上调（186次）,后1周,后2周,后3周,后4周,,,
平均|周收益|,0.01717,0.0174,0.01752,0.01772,,,
全样本基准,0.01685,0.01685,0.01685,0.01684,,,
波动倍数（vs基准）,1.02,1.03,1.04,1.05,,,
超越基准的比例,0.366,0.387,0.382,0.419,,,
,,,,,,,
升入高风险（47次）,后1周,后2周,后3周,后4周,,,
平均|周收益|,0.01743,0.01767,0.01896,0.01899,,,
全样本基准,0.01685,0.01685,0.01685,0.01684,,,
波动倍数（vs基准）,1.03,1.05,1.13,1.13,,,
超越基准的比例,0.362,0.426,0.511,0.489,,,
,,,,,,,
6.2 大跌预警提前量 — 大跌前模型是否已处于高警觉？,,,,,,,
"方法：对历史上每一次大跌（周跌>3%或>5%），回看大跌前1/2/3/4周该时点的模型状态。如果模型当时已处于困难模式及以上（仓位≤70%），则计为""已预警""。命中率越高、越稳定（各窗口差异小），说明模型预警越持续、越可靠。""平均预警提前量""统计已预警的大跌中，模型在大跌前多少周就首次进入中风险以上状态（最远回看8周）。",,,,,,,
,,,,,,,
周跌 > 3%（83次有效）,前1周,前2周,前3周,前4周,,,
已处于困难模式及以上的次数,67,62,64,62,,,
预警命中率,0.807,0.747,0.771,0.747,,,
,,,,,,,
周跌 > 5%（25次有效）,前1周,前2周,前3周,前4周,,,
已处于困难模式及以上的次数,19,17,19,17,,,
预警命中率,0.76,0.68,0.76,0.68,,,
,,,,,,,
平均预警提前量,周跌>3%,周跌>5%,,,,,
已预警的大跌中，平均提前周数,6.8,5.7,,,,,
样本数（已预警的大跌次数）,69,22,,,,,
,,,,,,,
✅ 领先预警评价：,,,,,,,
• 前瞻波动率：升入高风险后3-4周波动率达基准的1.13倍，超半数事件波动超越基准（51.1%），信号具有前瞻性。,,,,,,,
• 大跌预警：83次周跌>3%中，80.7%提前1周已处于困难模式及以上，平均提前6.8周发出预警。模型是“领先指标”，而非事后确认。,,,,,,,
• 严重冲击：25次周跌>5%中76%提前1周已预警，平均提前5.7周。对极端事件同样有效。,,,,,,,
ℹ️ 以上数据通过计算引擎生成（逐事件扫描升级后波动率、大跌前状态回看），非单元格公式。,,,,,,,
